293.15,Housing,Housing_OH_F,Housing_F,Endcap_F,Housing_OH_R,Housing_R,Endcap_R
293.15,3000000000.0,3000000000.0,1000000000.0,3000000000.0,3000000000.0,1000000000.0,3000000000.0
293.65,1.16523413922853,9.32187311382827,1000000000.0,1.97380000801724,9.32187311382827,1000000000.0,1.96529909089083
294.15,1.11280528520345,8.90244228162757,1000000000.0,1.87999556063456,8.90244228162757,1000000000.0,1.87188870514502
294.65,1.07960477223745,8.63683817789962,1000000000.0,1.82093626497082,8.63683817789962,1000000000.0,1.81307818118066
295.15,1.05484999740252,8.43879997922017,1000000000.0,1.777081120059,8.43879997922017,1000000000.0,1.76940811658429
295.65,1.03493056631381,8.27944453051045,1000000000.0,1.74190756916788,8.27944453051045,1000000000.0,1.73438323221725
296.15,1.01816939247296,8.14535513978369,1000000000.0,1.7123925168576,8.14535513978369,1000000000.0,1.70499308881316
296.65,1.00364365014204,8.02914920113631,1000000000.0,1.68687544906511,8.02914920113631,1000000000.0,1.67958412995253
297.15,0.99078872295531,7.92630978364248,1000000000.0,1.66434193396306,7.92630978364248,1000000000.0,1.65714617737847
297.65,0.979232879676736,7.83386303741389,1000000000.0,1.64412496761417,7.83386303741389,1000000000.0,1.63701502568484
298.15,0.968717819984967,7.74974255987974,1000000000.0,1.6257616191563,7.74974255987974,1000000000.0,1.61872968739539
299.15,0.950108820032533,7.60087056026027,1000000000.0,1.59334058932139,7.60087056026027,1000000000.0,1.58644653684569
300.15,0.933947131334793,7.47157705067835,1000000000.0,1.56526461606678,7.47157705067835,1000000000.0,1.55849012170644
301.15,0.919613008726614,7.35690406981291,1000000000.0,1.54042742596162,7.35690406981291,1000000000.0,1.533758821507
302.15,0.906698947004634,7.25359157603707,1000000000.0,1.51810270418992,7.25359157603707,1000000000.0,1.51152937847591
303.15,0.894922076571103,7.15937661256882,1000000000.0,1.49778696180641,7.15937661256882,1000000000.0,1.49130042419351
304.15,0.884077699175267,7.07262159340214,1000000000.0,1.47911629743298,7.07262159340214,1000000000.0,1.4727095907972
305.15,0.874012713558773,6.99210170847018,1000000000.0,1.46181884339733,6.99210170847018,1000000000.0,1.45548615689858
306.15,0.864609493919714,6.91687595135771,1000000000.0,1.44568594588159,6.91687595135771,1000000000.0,1.43942234886508
307.15,0.855775634445297,6.84620507556238,1000000000.0,1.43055384861104,6.84620507556238,1000000000.0,1.4243551015277
308.15,0.847437165545905,6.77949732436724,1000000000.0,1.41629158744217,6.77949732436724,1000000000.0,1.41015400369255
313.15,0.811393540335766,6.49114832268613,1000000000.0,1.35487729004441,6.49114832268613,1000000000.0,1.34900353535953
318.15,0.781872958908297,6.25498367126637,1000000000.0,1.30485655618693,6.25498367126637,1000000000.0,1.29919822557046
323.15,0.756605976315211,6.05284781052169,1000000000.0,1.26223532062635,6.05284781052169,1000000000.0,1.25676091965325
328.15,0.734349146273258,5.87479317018606,1000000000.0,1.22483170365317,5.87479317018606,1000000000.0,1.2195189885187
333.15,0.714344012352944,5.71475209882355,1000000000.0,1.19131821417919,5.71475209882355,1000000000.0,1.18615057588818
343.15,0.679249004346803,5.43399203477443,1000000000.0,1.13274983158398,5.43399203477443,1000000000.0,1.12783616937425
353.15,0.648851154074383,5.19080923259506,1000000000.0,1.08222740781837,5.19080923259506,1000000000.0,1.07753323785385
363.15,0.621800095515076,4.9744007641206,1000000000.0,1.03740664985173,4.9744007641206,1000000000.0,1.03290747618991
373.15,0.597274764162949,4.77819811330359,1000000000.0,0.99686645659852,4.77819811330359,1000000000.0,0.992543846168671
