Test_case,Flow_rate,Inlet_temperature,Speed,Copper_loss,T_layer_a_f,T_layer_b_f,T_layer_c_f,T_layer_d_f,T_layer_e_f,T_layer_f_f,T_layer_a_r,T_layer_b_r,T_layer_c_r,T_layer_d_r,T_layer_e_r,T_layer_f_r,T_layer_a_f_motorcad,T_layer_b_f_motorcad,T_layer_c_f_motorcad,T_layer_d_f_motorcad,T_layer_e_f_motorcad,T_layer_f_f_motorcad,T_layer_a_r_motorcad,T_layer_b_r_motorcad,T_layer_c_r_motorcad,T_layer_d_r_motorcad,T_layer_e_r_motorcad,T_layer_f_r_motorcad,Correlation_Factor_layer_a_f_motorcad,Correlation_Factor_layer_b_f_motorcad,Correlation_Factor_layer_c_f_motorcad,Correlation_Factor_layer_d_f_motorcad,Correlation_Factor_layer_e_f_motorcad,Correlation_Factor_layer_f_f_motorcad,Correlation_Factor_layer_a_r_motorcad,Correlation_Factor_layer_b_r_motorcad,Correlation_Factor_layer_c_r_motorcad,Correlation_Factor_layer_d_r_motorcad,Correlation_Factor_layer_e_r_motorcad,Correlation_Factor_layer_f_r_motorcad
11,2,75,7500,1500,79.12684655646586,79.45176548920327,79.81700163403018,80.04241528453817,80.39564757,80.57233282727667,78.96291120627086,79.29015563787596,79.43649527046477,79.63540631627242,80.15302938665957,80.27866710402455,79.46136794811113,79.66668257065015,79.78762233377263,79.84831261097905,79.89201875981895,79.8918413411171,79.64178107066375,79.87910092870074,79.81359166148115,79.87333067894642,80.13467093070116,80.10226588940796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
12,2,75,10000,1800,78.05050563337933,78.31176979125328,78.55502536963671,78.73341665748484,78.97195968964766,79.12154601955777,77.93899060750503,78.20716554679014,78.28546628457951,78.44275992349765,78.81970759240198,78.92464367378673,78.6107144180433,78.7926375663298,78.88271164627434,78.93737345972393,78.97377961846038,78.98032206162735,78.75293445315478,78.96747815542086,78.89766865568113,78.9514484970222,79.17486910003213,79.15036479644695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
13,2,75,12500,1800,77.00250356839715,77.18522806,77.33184438364452,77.45312873832216,77.59651334129637,77.69993664000535,76.93779137,77.12778315148726,77.16536869,77.27270495,77.51521426018229,77.58738816648412,77.57382626865467,77.71618754515947,77.77792937695489,77.82144944033735,77.8481746298929,77.85554338401514,77.6749361279121,77.84390789741363,77.78726943655342,77.8300582617306,77.9957403400287,77.97891383765841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
14,2,75,15000,1800,76.39673761,76.52827285887761,76.62324313868194,76.70897200501452,76.80164227079842,76.87599667,76.35708121451816,76.49548781485666,76.51422420943955,76.59051285337873,76.75657552129148,76.80842386,76.93631746064013,77.05006222297085,77.09526034219554,77.1313061977784,77.15249574712915,77.16121404919538,77.0119126307666,77.1477012624745,77.10135954269708,77.1367954837847,77.2657771509457,77.25504238252225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
15,4,40,0,1600,55.57740693041544,56.132620491204,57.35211909931087,57.81915345100559,59.00710157493906,59.39416456799161,54.98008884830587,55.55431848925502,56.09979409890173,56.52615768913003,58.17737406559088,58.44649968,55.55204288589886,55.90179185561867,57.33908102997907,57.60050271094496,57.94930679190924,57.97579123576652,54.88181144804107,55.26098457067769,55.830223847732995,56.0759180102507,57.96666096142842,58.02630298375435,1.08547054732253,1.07292730503615,0.985023006148875,0.965128394351534,0.956075536937119,0.956075536937119,1.19369684767421,1.18236754594764,1.11053854179748,1.09189138642244,0.999780619544294,0.983978644552259
16,4,40,2500,2400,59.04070140608899,59.76402198054669,61.16143441047783,61.74826206609567,63.10036221226861,63.59950979739374,58.39328743625138,59.15398557572878,59.72785229693768,60.26569586984126,62.247870885963245,62.59764903536605,57.356553937411675,57.77953735233773,59.23916615889547,59.60676627525655,61.49430766886573,61.74312364113047,56.48329183787413,56.9683844448524,57.482587692869274,57.79357726073287,59.835380572406905,59.93791116550111,1.30981145834448,1.29747284399249,1.2092837404124,1.18330495641073,1.06649117650798,1.04392212328873,1.44700472982188,1.4331894096191,1.35765529586128,1.3335050146406,1.23907213880948,1.21911518692729
17,4,40,5000,3200,58.57631078215506,59.365274265426336,60.65902621044855,61.281500400227785,62.55167442946488,63.12755673606834,57.997962951034495,58.84188703,59.30303931727903,59.87298828917031,61.83380450339033,62.24007184802194,58.36078717834645,58.806388246169405,59.750922825335905,60.067255042387785,61.19765701033809,61.45751246363456,57.95029007726815,58.49685985826655,58.66559323092551,58.94904200000657,60.54946301971658,60.65180858775132,1.29822228111677,1.29341944163715,1.25130807269814,1.23443506031281,1.17207362703996,1.15495986189677,1.3842835101521,1.37789302541328,1.33701616854332,1.3215903844842,1.27705146642033,1.26267152036455
18,4,40,7500,4000,56.45892572547728,57.24345992600685,58.3277052083828,58.928702802982215,60.009769893794136,60.61804023194238,55.98792844,56.83962597248554,57.15887185099454,57.708179919240365,59.46617529765442,59.89707398456181,57.60617977233804,58.06395537165493,58.729536189838434,59.02059708758512,59.80124930655629,60.09178802153332,57.41912833755407,57.99164231928174,57.99018450214042,58.25464656864061,59.5654071611345,59.69096152106328,1.28926456035379,1.28806724287264,1.26518955493055,1.2522853281197,1.21300912951873,1.19809302974756,1.35421534421172,1.35232609544197,1.3240288116203,1.31262667300192,1.29121554590887,1.27859894030975
19,4,40,10000,4800,54.067370428286,54.80901598215407,55.68229277800104,56.23209328136348,57.11087092292533,57.71011502236921,53.69910863218541,54.51391212,54.71520619316378,55.21725797691782,56.7223545,57.147687639175984,56.20827967989243,56.660532339885556,57.147601307082624,57.41035244597472,57.973137883212985,58.27932498246953,56.14592265784235,56.71142050250278,56.61985494469185,56.864349384414396,57.941487543979136,58.086059587643845,1.28228802191932,1.28424496903191,1.27142682453369,1.26169896304375,1.23523189706271,1.22201017075655,1.33513424097299,1.3379083068284,1.3155031153894,1.30670766936364,1.29960600883401,1.28786158527312
20,4,40,12500,4800,50.24738568418486,50.83007678367613,51.428702836743184,51.84871970560941,52.45517349602825,52.94322038149949,50.00323099596255,50.65012860788355,50.74988106152124,51.13353859872089,52.22456321,52.57184774679326,52.65845194554031,53.02860145777181,53.341791007508355,53.54800952199535,53.90555725604829,54.17266093130853,52.66207854365737,53.12799078521721,53.00953904690057,53.20071653581984,53.96927519771227,54.10409934032408,1.2763905154577,1.28143920171427,1.27495668453183,1.26727835695027,1.24928439191166,1.23773675010866,1.32186273690792,1.32849211153325,1.30918636773528,1.30265402511954,1.30536468985128,1.29454022519295
